,APOBEC 2 ,Background  
MMRF_2244_1_BM,0.163040615,0.836959385
MMRF_2768_1_BM,0.163002891,0.836997109
MMRF_2160_1_BM,0.162982906,0.837017094
MMRF_2428_1_BM,0.162656209,0.837343791
MMRF_2211_1_BM,0.162650678,0.837349322
MMRF_2367_1_BM,0.162293601,0.837706399
MMRF_1783_2_BM,0.161977991,0.838022009
MMRF_1766_1_BM,0.161969204,0.838030796
MMRF_2691_1_BM,0.161938011,0.838061989
MMRF_1614_1_BM,0.161667573,0.838332427
MMRF_1325_1_BM,0.161262108,0.838737892
MMRF_1897_1_BM,0.161168324,0.838831676
MMRF_1928_1_BM,0.16065465,0.83934535
MMRF_2795_1_BM,0.160410819,0.839589181
MMRF_1858_1_BM,0.160341223,0.839658777
MMRF_1659_3_BM,0.160311277,0.839688723
MMRF_2602_1_BM,0.160237856,0.839762144
MMRF_2397_1_BM,0.160118734,0.839881266
MMRF_2572_2_BM,0.159873122,0.840126878
MMRF_2834_1_BM,0.15959018,0.84040982
MMRF_1997_1_BM,0.158668653,0.841331347
MMRF_1839_1_BM,0.158596518,0.841403482
MMRF_2380_1_BM,0.158306375,0.841693625
MMRF_1293_1_BM,0.158216333,0.841783667
MMRF_2572_1_BM,0.157992648,0.842007352
MMRF_1790_4_BM,0.157869902,0.842130098
MMRF_2807_1_BM,0.157196046,0.842803954
MMRF_1736_2_BM,0.15699305,0.84300695
MMRF_1110_3_BM,0.156961199,0.843038801
MMRF_1721_1_BM,0.156786786,0.843213214
MMRF_1030_1_BM,0.156740609,0.843259391
MMRF_1543_1_BM,0.156610194,0.843389806
MMRF_1155_2_BM,0.155820423,0.844179577
MMRF_2329_1_BM,0.155612014,0.844387986
MMRF_1651_1_BM,0.155528745,0.844471255
MMRF_2608_1_BM,0.155394219,0.844605781
MMRF_1049_4_BM,0.155023843,0.844976157
MMRF_1624_3_BM,0.154949581,0.845050419
MMRF_2195_1_BM,0.154425609,0.845574391
MMRF_2284_1_BM,0.154368911,0.845631089
MMRF_2731_1_BM,0.153904599,0.846095401
MMRF_2363_2_BM,0.153755303,0.846244697
MMRF_2170_1_BM,0.153452629,0.846547371
MMRF_2344_2_BM,0.153275611,0.846724389
MMRF_1647_1_BM,0.153124388,0.846875612
MMRF_2756_1_BM,0.153113082,0.846886918
MMRF_1795_2_BM,0.152890766,0.847109234
MMRF_2805_1_BM,0.15263607,0.84736393
MMRF_2525_1_BM,0.152456461,0.847543539
MMRF_1700_1_BM,0.152380751,0.847619249
MMRF_2237_1_BM,0.152371954,0.847628046
MMRF_2054_1_BM,0.15190357,0.84809643
MMRF_2226_1_BM,0.151478824,0.848521176
MMRF_2592_1_BM,0.150951739,0.849048261
MMRF_1500_2_BM,0.150923355,0.849076645
MMRF_1156_2_BM,0.150486896,0.849513104
MMRF_1383_1_BM,0.150337289,0.849662711
MMRF_1485_1_BM,0.150208541,0.849791459
MMRF_1771_1_BM,0.150067173,0.849932827
MMRF_1978_2_BM,0.149959001,0.850040999
MMRF_2286_1_BM,0.14992565,0.85007435
MMRF_2675_1_BM,0.149653125,0.850346875
MMRF_1980_1_BM,0.149228192,0.850771808
MMRF_1953_1_BM,0.149206041,0.850793959
MMRF_2843_1_BM,0.148861859,0.851138141
MMRF_1739_2_BM,0.148689896,0.851310104
MMRF_1157_2_BM,0.14842484,0.85157516
MMRF_1888_1_BM,0.148187911,0.851812089
